Node1	Sign	Node2
GSK3B	-1	NEFH
GSK3B	1	CDH1
GSK3B	1	CEBPB
GSK3B	1	NFKB1
GSK3B	1	APC
GSK3B	-1	CCND2
GSK3B	-1	CCND3
GSK3B	-1	CDC25A
GSK3B	-1	SREBF1
GSK3B	-1	CDKN1A
GSK3B	1	PPP1R2
GSK3B	1	NOTCH1
GSK3B	-1	MAP1B
GSK3B	1	CEBPA
GSK3B	-1	PSEN1
GSK3B	-1	EIF2B5
GSK3B	1	TSC2
GSK3B	1	ACLY
GSK3B	1	RCAN1
GSK3B	1	ATXN3
GSK3B	1	PRKCE
GSK3B	1	RELA
GSK3B	1	NOTCH2
GSK3B	1	BAX
GSK3B	-1	MCL1
GSK3B	-1	EIF4EBP1
GSK3B	-1	KLF5
GSK3B	-1	HNRNPD
GSK3B	1	NIFK
GSK3B	-1	RBM38
GSK3B	-1	GPHN
GSK3B	1	DROSHA
GSK3B	1	FBXO4
CSNK2A1	1	PDCD5
CSNK2A1	1	HDAC3
CSNK2A1	1	VAMP4
CSNK2A1	1	ESR1
CSNK2A1	1	TP53
CSNK2A1	-1	HMGN1
CSNK2A1	-1	JUN
CSNK2A1	-1	HNRNPC
CSNK2A1	-1	CALM1
CSNK2A1	-1	MYB
CSNK2A1	1	VDR
CSNK2A1	-1	F5
CSNK2A1	1	ACE
CSNK2A1	1	IGFBP3
CSNK2A1	1	LIG1
CSNK2A1	1	EIF2S2
CSNK2A1	1	NFKBIA
CSNK2A1	1	APEX1
CSNK2A1	1	CTNNA1
CSNK2A1	1	MYH9
CSNK2A1	1	WAS
CSNK2A1	1	BID
CSNK2A1	-1	PTEN
CSNK2A1	-1	MAX
CSNK2A1	-1	SPTBN1
CSNK2A1	-1	NR1H3
CSNK2A1	-1	G3BP1
CSNK2A1	-1	EIF4EBP1
CSNK2A1	1	HDAC1
CSNK2A1	1	CDC37
CSNK2A1	1	STX1A
CSNK2A1	-1	TELO2
CSNK2A1	-1	CTDP1
SMAD3	-1	RUNX2
FLI1	1	GATA1
RELA	1	JUN
RELA	1	EGR1
PRKCQ	1	WIPF1
PRKCQ	1	FOSL1
PRKCQ	1	MSN
PRKCQ	1	RASGRP3
PRKCD	1	DNM1L
PRKCD	1	TP53
PRKCD	1	KRT8
PRKCD	1	SRC
PRKCD	-1	C5AR1
PRKCD	1	PEBP1
PRKCD	1	IRS1
PRKCD	-1	LIMK2
PRKCD	1	HNRNPK
PRKCD	-1	FLI1
PRKCD	-1	TAGLN
PRKCD	-1	EP300
PRKCD	1	PRKD1
PRKCD	-1	FSCN1
PRKCD	1	PPP1R14B
PRKCD	1	PLSCR3
PRKCD	1	PA2G4
SMAD3	1	EP300
PTPRJ	1	EGFR
PTPRJ	-1	RET
PTPRJ	-1	MET
PTPRJ	-1	PDGFRB
PTPRJ	-1	MAPK3
CBFB	1	RUNX1
TFDP1	1	E2F2
RPS6KA1	1	EIF4B
RPS6KA1	1	MITF
RPS6KA1	1	ESR1
RPS6KA1	1	SLC9A1
RPS6KA1	-1	IRS1
RPS6KA1	1	ETV1
RPS6KA1	-1	VASP
RPS6KA1	1	RPS6
RPS6KA1	1	H3_3A
RPS6KA1	-1	STK11
RPS6KA1	1	PPP1R3A
ESR1	1	NCOA1
STAT3	1	SYK
ABL1	1	ABI2
MAPK9	-1	NFATC4
CSNK2A1	1	OCLN
CDK2	1	NCOA1
ABL1	1	MET
JAK2	1	GRB2
CDK2	-1	NR1I2
CDK2	1	BARD1
CSNK2A1	1	BIK
MAPK9	1	FOXO4
CAMK2A	1	RYR2
MAPK14	1	AR
PRKCD	1	CARD9
PIK3CA	1	RPS6KB1
NLK	-1	SMAD4
DUSP10	-1	MAPK9
PTPRJ	1	CTNND1
STAT6	1	IL4R
SUMO1	-1	HIPK2
PRKCD	-1	MET
RB1	-1	CCND1
JAK2	1	PIK3R1
CREBZF	1	ATF4
ABL1	1	PRKD2
RPS6KA1	1	NR4A1
RPS6KA1	1	SRF
PRKCQ	1	CHUK
CDK2	-1	E2F1
CDK2	1	H1_5
JAK2	-1	IGF1R
MAPK14	1	RELA
MAPK9	1	FOS
MAPK9	1	NR3C1
PDGFRB	1	PIK3R1
MAPK3	1	CREB1
CTNNB1	1	PIK3R1
STAT3	-1	AR
HSP90AA1	-1	TP53
CALM1	1	CAMK2G
RELA	-1	NR3C1
ATF4	-1	CREBBP
RB1	-1	MDM2
CTNNB1	1	TCF7L1
CTNND1	-1	ZBTB33
HSP90AA1	-1	HIF1A
CREB1	1	TP53
SP3	1	SP1
PIK3CA	1	AKT1
HIF1A	1	VEGFA
STAT3	1	TWIST1
HSP90AA1	1	AHR
TFDP1	-1	RBL1
HIPK2	1	NLK
STAT3	1	STAT1
SP1	1	E2F1
RB1	-1	TAF1
PDGFRB	1	STAT5A
TP73	1	TP63
HSF1	-1	SUMO1
CALM1	1	CAMK2D
CALM1	1	CAMK2B
CALM1	1	CAMK1
ATF4	1	DDIT3
SMAD3	1	SMAD2
SMAD3	1	ZEB2
SMAD3	-1	ZEB1
SMAD3	1	CREBBP
CTNNB1	1	CCND1
FOXA1	-1	AR
GSK3B	-1	AR
CCNH	-1	GTF2H4
HSP90AA1	1	BIRC5
CTNNB1	1	MYC
STAT3	-1	HIF1A
ESR1	1	IGF1R
CCNH	-1	CDK2
TAL1	-1	TCF3
STAT5A	1	EPOR
DNAJC7	-1	HSP90AA1
CSNK2A1	1	DVL1
PDGFRB	1	PIK3CA
PIK3CA	1	PRKCD
HIF1A	1	PGK1
PRKCD	-1	IGF1R
JAK2	1	STAT2
PDGFRB	1	STAT1
Perturbation	1	A2M
Perturbation	1	ABRAXAS1
Perturbation	1	ACD
Perturbation	1	ACVR1C
Perturbation	1	ADAM10
Perturbation	1	ADAM9
Perturbation	1	ADAMTS4
Perturbation	1	ADIPOQ
Perturbation	1	ADM
Perturbation	1	ADM2
Perturbation	1	ADORA1
Perturbation	1	ADRA2A
Perturbation	1	ADRM1
Perturbation	1	AGRN
Perturbation	1	AGRP
Perturbation	1	AHSP
Perturbation	1	AIP
Perturbation	1	AKAP5
Perturbation	1	AMH
Perturbation	1	ANGPT1
Perturbation	1	ANGPT2
Perturbation	1	ANGPT4
Perturbation	1	ANGPTL1
Perturbation	1	ANP32A
Perturbation	1	AP2M1
Perturbation	1	AP2S1
Perturbation	1	APBA1
Perturbation	1	APC_AXIN1_GSK3B
Perturbation	1	APC2
Perturbation	1	APELA
Perturbation	1	APLF
Perturbation	1	APLN
Perturbation	1	APOE
Perturbation	1	AREG
Perturbation	1	ARFGAP1
Perturbation	1	ARHGAP1
Perturbation	1	ARHGAP26
Perturbation	1	ARHGEF28
Perturbation	1	ARHGEF3
Perturbation	1	ARTN
Perturbation	1	ARVCF
Perturbation	1	ASAP2
Perturbation	1	ASF1B
Perturbation	1	ASIP
Perturbation	1	ATG101
Perturbation	1	ATG14
Perturbation	1	ATG4B
Perturbation	1	AVP
Perturbation	1	B2M
Perturbation	1	BACE2
Perturbation	1	BAG1
Perturbation	1	BAG4
Perturbation	1	BAG6
Perturbation	1	BAZ1B
Perturbation	1	BBS4
Perturbation	1	BCCIP
Perturbation	1	BCKDK
Perturbation	1	BCL3
Perturbation	1	BCOR
Perturbation	1	BDNF
Perturbation	1	BLK
Perturbation	1	BMI1
Perturbation	1	BMP10
Perturbation	1	BMP15
Perturbation	1	BMP6
Perturbation	1	BMP7
Perturbation	1	BNIP2
Perturbation	1	BRIP1
Perturbation	1	BRSK1
Perturbation	1	BTC
Perturbation	1	BTG2
Perturbation	1	BTRC
Perturbation	1	C5
Perturbation	1	C8A
Perturbation	1	CALCA
Perturbation	1	CALCB
Perturbation	1	CAMK1G
Perturbation	1	CAMP
Perturbation	1	CAND1
Perturbation	1	CAPNS1
Perturbation	1	CARD17
Perturbation	1	CARD18
Perturbation	1	CAST
Perturbation	1	CBFB
Perturbation	1	CBLL1
Perturbation	1	CBX3
Perturbation	1	CBY1
Perturbation	1	CCK
Perturbation	1	CCL1
Perturbation	1	CCL11
Perturbation	1	CCL13
Perturbation	1	CCL14
Perturbation	1	CCL15
Perturbation	1	CCL16
Perturbation	1	CCL17
Perturbation	1	CCL18
Perturbation	1	CCL19
Perturbation	1	CCL2
Perturbation	1	CCL20
Perturbation	1	CCL21
Perturbation	1	CCL22
Perturbation	1	CCL23
Perturbation	1	CCL24
Perturbation	1	CCL25
Perturbation	1	CCL26
Perturbation	1	CCL27
Perturbation	1	CCL28
Perturbation	1	CCL3
Perturbation	1	CCL3L1
Perturbation	1	CCL4
Perturbation	1	CCL5
Perturbation	1	CCL7
Perturbation	1	CCL8
Perturbation	1	CCN3
Perturbation	1	CCNA2_CDK2
Perturbation	1	CCNH
Perturbation	1	CCNY
Perturbation	1	CCS
Perturbation	1	CD14
Perturbation	1	CD22
Perturbation	1	CD40LG
Perturbation	1	CD46
Perturbation	1	CD48
Perturbation	1	CD55
Perturbation	1	CD58
Perturbation	1	CD70
Perturbation	1	CD86
Perturbation	1	CDC14A
Perturbation	1	CDC42SE1
Perturbation	1	CDC7
Perturbation	1	CDC73
Perturbation	1	CDK10
Perturbation	1	CDK11B
Perturbation	1	CDK12
Perturbation	1	CDK19
Perturbation	1	CDK20
Perturbation	1	CDK8
Perturbation	1	CDKN2C
Perturbation	1	CDKN2D
Perturbation	1	CDKN3
Perturbation	1	CENPE
Perturbation	1	CFB
Perturbation	1	CFHR1
Perturbation	1	CFI
Perturbation	1	CGA
Perturbation	1	CGB8
Perturbation	1	CHAMP1
Perturbation	1	CHD8
Perturbation	1	CHMP1A
Perturbation	1	CHN2
Perturbation	1	CHRM1
Perturbation	1	CHRM2
Perturbation	1	CHRM3
Perturbation	1	CHRM4
Perturbation	1	CHRM5
Perturbation	1	CKS1B
Perturbation	1	CLCF1
Perturbation	1	CLK1
Perturbation	1	CLK2
Perturbation	1	CLU
Perturbation	1	CNKSR1
Perturbation	1	CNR1
Perturbation	1	CNTF
Perturbation	1	COL18A1
Perturbation	1	COL1A1
Perturbation	1	COL1A2
Perturbation	1	COL2A1
Perturbation	1	COL4A1
Perturbation	1	COL4A2
Perturbation	1	COL4A3
Perturbation	1	COL4A4
Perturbation	1	COL4A6
Perturbation	1	COPS5
Perturbation	1	CORT
Perturbation	1	CPLX1
Perturbation	1	CREBZF
Perturbation	1	CREM
Perturbation	1	CRH
Perturbation	1	CRYAA
Perturbation	1	CRYAB
Perturbation	1	CSF1
Perturbation	1	CSF2
Perturbation	1	CSF3
Perturbation	1	CSNK1A1L
Perturbation	1	CSNK1D
Perturbation	1	CSNK1G1
Perturbation	1	CSNK1G2
Perturbation	1	CSNK1G3
Perturbation	1	CSNK2A2
Perturbation	1	CTDSP1
Perturbation	1	CTDSP2
Perturbation	1	CTF1
Perturbation	1	CTNNA3
Perturbation	1	CTNNBIP1
Perturbation	1	CTNND2
Perturbation	1	CX3CL1
Perturbation	1	CXCL1
Perturbation	1	CXCL10
Perturbation	1	CXCL12
Perturbation	1	CXCL13
Perturbation	1	CXCL16
Perturbation	1	CXCL3
Perturbation	1	CXCL5
Perturbation	1	CXCL6
Perturbation	1	CXCL8
Perturbation	1	CXCL9
Perturbation	1	CYFIP2
Perturbation	1	DACT1
Perturbation	1	DBF4
Perturbation	1	DCLRE1B
Perturbation	1	DCN
Perturbation	1	DEF6
Perturbation	1	DEFB4B
Perturbation	1	DHPS
Perturbation	1	DHX58
Perturbation	1	DISC1
Perturbation	1	DKK1
Perturbation	1	DLG1
Perturbation	1	DLK1
Perturbation	1	DLL3
Perturbation	1	DLL4
Perturbation	1	DMPK
Perturbation	1	DNAJB1
Perturbation	1	DNAJC7
Perturbation	1	DNMT3L
Perturbation	1	DOCK9
Perturbation	1	DOK7
Perturbation	1	DRD1
Perturbation	1	DRD2
Perturbation	1	DTL
Perturbation	1	DUSP10
Perturbation	1	DUSP2
Perturbation	1	DUSP22
Perturbation	1	DUSP26
Perturbation	1	DUSP3
Perturbation	1	DUSP4
Perturbation	1	DUSP5
Perturbation	1	DUSP8
Perturbation	1	DYNLL2
Perturbation	1	DYRK1A
Perturbation	1	DYRK1B
Perturbation	1	DYRK2
Perturbation	1	E2F6
Perturbation	1	E4F1
Perturbation	1	ECE1
Perturbation	1	EDA
Perturbation	1	EDN2
Perturbation	1	EDN3
Perturbation	1	EEF1B2
Perturbation	1	EFNA1
Perturbation	1	EFNA2
Perturbation	1	EFNA3
Perturbation	1	EFNA4
Perturbation	1	EFNA5
